OriginID,DestinationID,TypeProtocol,ComunicationProtocol,ProtocolStep,origin_time
AG_487,MONITOR,heNacido,heNacido,1,14:27:26.026923900
AG_488,MONITOR,heNacido,heNacido,1,14:27:27.744572200
AG_489,MONITOR,heNacido,heNacido,1,14:27:30.898660400
AG_487,AG_488,intercambio,intercambio,1,14:27:31.153079
AG_488,AG_487,intercambio,intercambio,1,14:27:32.873014600
AG_487,AG_488,intercambio,intercambio,1,14:27:33.187893600
AG_488,AG_487,intercambio,intercambio,2,14:27:33.192902
AG_488,AG_487,decision,decision,1,14:27:35.282862500
AG_489,AG_488,intercambio,intercambio,1,14:27:36.096901300
AG_488,AG_487,intercambio,intercambio,1,14:27:37.296694700
AG_489,AG_487,intercambio,intercambio,1,14:27:38.110269700
AG_487,AG_488,intercambio,intercambio,1,14:27:39.301278400
AG_489,AG_488,intercambio,intercambio,1,14:27:40.128174300
AG_488,AG_489,intercambio,intercambio,2,14:27:40.131180
AG_489,AG_487,intercambio,intercambio,1,14:27:42.141942
AG_487,AG_489,intercambio,intercambio,1,14:28:01.329373900
AG_488,AG_489,intercambio,intercambio,1,14:28:02.144042100
AG_489,AG_488,intercambio,intercambio,2,14:28:02.146022400
AG_487,AG_488,intercambio,intercambio,1,14:28:03.342654
AG_488,AG_487,intercambio,intercambio,1,14:28:04.151840300
AG_487,AG_489,intercambio,intercambio,1,14:28:05.358254100
AG_489,AG_488,intercambio,intercambio,1,14:28:24.182674600
AG_488,AG_489,intercambio,intercambio,1,14:28:26.172074200
AG_489,AG_487,intercambio,intercambio,1,14:28:26.187077600
AG_487,AG_488,intercambio,intercambio,1,14:28:27.372487800
AG_488,AG_487,intercambio,intercambio,1,14:28:48.198897400
AG_489,AG_488,intercambio,intercambio,1,14:28:48.214875500
AG_487,AG_489,intercambio,intercambio,1,14:28:49.384099
AG_488,AG_489,intercambio,intercambio,1,14:28:50.211093400
AG_489,AG_487,intercambio,intercambio,1,14:28:50.226096
AG_487,AG_488,intercambio,intercambio,1,14:29:11.398777100
AG_488,AG_487,intercambio,intercambio,1,14:29:12.225098900
AG_489,AG_488,intercambio,intercambio,1,14:29:12.240112300
AG_487,AG_489,intercambio,intercambio,1,14:29:13.408607900
AG_489,AG_487,intercambio,intercambio,1,14:29:14.248265900
AG_488,AG_489,intercambio,intercambio,1,14:29:34.246679600
AG_487,AG_488,intercambio,intercambio,1,14:29:35.434824700
AG_488,AG_487,intercambio,intercambio,1,14:29:36.253254100
AG_489,AG_488,intercambio,intercambio,1,14:29:36.268244700
AG_487,AG_489,intercambio,intercambio,1,14:29:37.441396
AG_489,AG_487,intercambio,intercambio,1,14:29:38.282404600
AG_488,AG_489,intercambio,intercambio,1,14:29:58.269738600
AG_487,AG_488,intercambio,intercambio,1,14:29:59.468284800
AG_488,AG_487,intercambio,intercambio,1,14:30:00.272803
AG_489,AG_488,intercambio,intercambio,1,14:30:00.285802
AG_487,AG_489,intercambio,intercambio,1,14:30:01.477013400
AG_489,AG_487,intercambio,intercambio,1,14:30:02.300237300
AG_488,AG_489,intercambio,intercambio,1,14:30:22.289117
AG_487,AG_488,intercambio,intercambio,1,14:30:23.508054600
AG_488,AG_487,intercambio,intercambio,1,14:30:24.301317200
AG_489,AG_488,intercambio,intercambio,1,14:30:24.316288500
AG_487,AG_489,intercambio,intercambio,1,14:30:25.518212200
AG_489,AG_487,intercambio,intercambio,1,14:30:26.329432900
AG_488,AG_489,intercambio,intercambio,1,14:30:46.323640700
AG_487,AG_488,intercambio,intercambio,1,14:30:47.536696800
AG_488,AG_487,intercambio,intercambio,1,14:30:48.332871900
AG_489,AG_488,intercambio,intercambio,1,14:30:48.348831400
AG_487,AG_489,intercambio,intercambio,1,14:30:49.550789400
AG_489,AG_487,intercambio,intercambio,1,14:30:50.360403300
AG_488,AG_489,intercambio,intercambio,1,14:31:10.352840200
AG_487,AG_488,intercambio,intercambio,1,14:31:11.572307400
AG_488,AG_487,intercambio,intercambio,1,14:31:12.363534800
AG_489,AG_488,intercambio,intercambio,1,14:31:12.379073400
AG_487,AG_489,intercambio,intercambio,1,14:31:13.579722300
AG_489,AG_487,intercambio,intercambio,1,14:31:14.385478
AG_488,AG_489,intercambio,intercambio,1,14:31:34.377706
AG_487,AG_488,intercambio,intercambio,1,14:31:35.603447400
AG_488,AG_487,intercambio,intercambio,1,14:31:36.386022900
AG_489,AG_488,intercambio,intercambio,1,14:31:36.401521600
AG_487,AG_489,intercambio,intercambio,1,14:31:37.620155800
AG_489,AG_487,intercambio,intercambio,1,14:31:38.417034800
AG_488,AG_489,intercambio,intercambio,1,14:31:58.410152300
AG_487,AG_488,intercambio,intercambio,1,14:31:59.632376600
AG_488,AG_487,intercambio,intercambio,1,14:32:00.424217500
AG_489,AG_488,intercambio,intercambio,1,14:32:00.439220500
AG_487,AG_489,intercambio,intercambio,1,14:32:01.638466600
AG_489,AG_487,intercambio,intercambio,1,14:32:02.448468400
AG_488,AG_489,intercambio,intercambio,1,14:32:22.440421500
AG_487,AG_488,intercambio,intercambio,1,14:32:23.653689200
AG_488,AG_487,intercambio,intercambio,1,14:32:24.445716500
AG_489,AG_488,intercambio,intercambio,1,14:32:24.461713600
AG_487,AG_489,intercambio,intercambio,1,14:32:25.659568500
AG_489,AG_487,intercambio,intercambio,1,14:32:26.467948300
AG_490,MONITOR,heNacido,heNacido,1,14:32:29.703617
AG_491,MONITOR,heNacido,heNacido,1,14:32:32.897043
AG_490,AG_488,intercambio,intercambio,1,14:32:34.864746900
AG_490,AG_487,intercambio,intercambio,1,14:32:36.885399300
AG_491,AG_488,intercambio,intercambio,1,14:32:38.077122700
AG_490,AG_489,intercambio,intercambio,1,14:32:38.891798700
AG_491,AG_487,intercambio,intercambio,1,14:32:40.095854200
AG_490,AG_491,intercambio,intercambio,1,14:32:40.907468700
AG_491,AG_490,intercambio,intercambio,1,14:32:42.113997300
AG_490,AG_488,intercambio,intercambio,1,14:32:42.925190500
AG_488,AG_489,intercambio,intercambio,1,14:32:46.467468200
AG_487,AG_488,intercambio,intercambio,1,14:32:47.670931500
AG_488,AG_491,intercambio,intercambio,1,14:32:48.475348500
AG_489,AG_488,intercambio,intercambio,1,14:32:48.491343
AG_487,AG_490,intercambio,intercambio,1,14:32:49.683028600
AG_489,AG_487,intercambio,intercambio,1,14:32:50.499146300
AG_487,AG_489,intercambio,intercambio,1,14:32:51.691619700
AG_489,AG_490,intercambio,intercambio,1,14:32:52.504165200
AG_491,AG_489,intercambio,intercambio,1,14:33:04.137081600
AG_490,AG_487,intercambio,intercambio,1,14:33:04.947971800
AG_491,AG_488,intercambio,intercambio,1,14:33:06.155516500
AG_490,AG_489,intercambio,intercambio,1,14:33:06.958847300
AG_491,AG_487,intercambio,intercambio,1,14:33:08.168955600
AG_490,AG_491,intercambio,intercambio,1,14:33:08.970774900
AG_491,AG_490,intercambio,intercambio,1,14:33:10.186248100
AG_488,AG_487,intercambio,intercambio,1,14:33:10.485580600
AG_490,AG_488,intercambio,intercambio,1,14:33:10.983715
AG_488,AG_490,intercambio,intercambio,1,14:33:12.503156600
AG_487,AG_491,intercambio,intercambio,1,14:33:13.718834700
AG_489,AG_491,intercambio,intercambio,1,14:33:14.532183900
AG_487,AG_488,intercambio,intercambio,1,14:33:15.735359900
AG_489,AG_488,intercambio,intercambio,1,14:33:16.537143700
AG_487,AG_490,intercambio,intercambio,1,14:33:17.750543600
AG_489,AG_487,intercambio,intercambio,1,14:33:18.540898700
AG_487,AG_489,intercambio,intercambio,1,14:33:19.760491
AG_489,AG_490,intercambio,intercambio,1,14:33:20.550783900
AG_491,AG_489,intercambio,intercambio,1,14:33:32.207470700
AG_490,AG_487,intercambio,intercambio,1,14:33:33.001930500
AG_491,AG_488,intercambio,intercambio,1,14:33:34.218454400
AG_488,AG_489,intercambio,intercambio,1,14:33:34.530659300
AG_490,AG_489,intercambio,intercambio,1,14:33:35.012571100
AG_491,AG_487,intercambio,intercambio,1,14:33:36.229253100
AG_490,AG_491,intercambio,intercambio,1,14:33:37.018225
AG_491,AG_490,intercambio,intercambio,1,14:33:38.243706500
AG_490,AG_488,intercambio,intercambio,1,14:33:39.022603600
AG_487,AG_491,intercambio,intercambio,1,14:33:41.784996
AG_489,AG_491,intercambio,intercambio,1,14:33:42.577425100
AG_487,AG_488,intercambio,intercambio,1,14:33:43.792705800
AG_489,AG_488,intercambio,intercambio,1,14:33:44.589558400
AG_487,AG_490,intercambio,intercambio,1,14:33:45.806862800
AG_489,AG_487,intercambio,intercambio,1,14:33:46.599877400
AG_487,AG_489,intercambio,intercambio,1,14:33:47.812361600
AG_489,AG_490,intercambio,intercambio,1,14:33:48.609557700
AG_488,AG_491,intercambio,intercambio,1,14:33:56.551828200
AG_488,AG_487,intercambio,intercambio,1,14:33:58.558515100
AG_491,AG_489,intercambio,intercambio,1,14:34:00.260364400
AG_488,AG_490,intercambio,intercambio,1,14:34:00.572829500
AG_490,AG_487,intercambio,intercambio,1,14:34:01.050831200
AG_491,AG_488,intercambio,intercambio,1,14:34:02.266668300
AG_488,AG_489,intercambio,intercambio,1,14:34:02.577685100
AG_491,AG_487,intercambio,intercambio,1,14:34:04.272143100
AG_491,AG_490,intercambio,intercambio,1,14:34:06.289096600
AG_491,AG_489,intercambio,intercambio,1,14:34:08.296732900
AG_487,AG_491,intercambio,intercambio,1,14:34:09.834857900
AG_491,AG_488,intercambio,intercambio,1,14:34:10.301073900
AG_488,AG_491,decision,decision,1,14:34:10.304091500
AG_489,AG_491,intercambio,intercambio,1,14:34:10.627739800
AG_488,AG_491,intercambio,intercambio,1,14:34:12.306463900
AG_489,AG_488,intercambio,intercambio,1,14:34:12.643726100
AG_487,AG_490,intercambio,intercambio,1,14:34:13.857700300
AG_489,AG_487,intercambio,intercambio,1,14:34:14.651153900
AG_487,AG_489,intercambio,intercambio,1,14:34:15.865658800
AG_489,AG_490,intercambio,intercambio,1,14:34:16.658959700
AG_490,AG_489,intercambio,intercambio,1,14:34:23.058887800
AG_490,AG_491,intercambio,intercambio,1,14:34:25.075117600
AG_490,AG_488,intercambio,intercambio,1,14:34:27.080211600
AG_490,AG_487,intercambio,intercambio,1,14:34:29.092240900
AG_490,AG_489,intercambio,intercambio,1,14:34:31.101578300
AG_491,AG_487,intercambio,intercambio,1,14:34:32.316265600
AG_490,AG_491,intercambio,intercambio,1,14:34:33.112948300
AG_488,AG_487,intercambio,intercambio,1,14:34:34.319386500
AG_491,AG_490,intercambio,intercambio,1,14:34:34.319386500
AG_490,AG_488,intercambio,intercambio,1,14:34:35.117192500
AG_488,AG_490,intercambio,intercambio,1,14:34:36.336381900
AG_487,AG_491,intercambio,intercambio,1,14:34:37.892165
AG_489,AG_491,intercambio,intercambio,1,14:34:38.671557200
AG_487,AG_488,intercambio,intercambio,1,14:34:39.900823300
AG_489,AG_488,intercambio,intercambio,1,14:34:40.683853200
AG_487,AG_490,intercambio,intercambio,1,14:34:41.903068300
AG_489,AG_487,intercambio,intercambio,1,14:34:42.691775300
AG_487,AG_489,intercambio,intercambio,1,14:34:43.908193600
AG_489,AG_490,intercambio,intercambio,1,14:34:44.703738300
AG_491,AG_489,intercambio,intercambio,1,14:34:56.342668700
AG_490,AG_487,intercambio,intercambio,1,14:34:57.136523900
AG_491,AG_488,intercambio,intercambio,1,14:34:58.357632100
AG_488,AG_489,intercambio,intercambio,1,14:34:58.357632100
AG_490,AG_489,intercambio,intercambio,1,14:34:59.148089900
AG_491,AG_487,intercambio,intercambio,1,14:35:00.366839200
AG_488,AG_491,intercambio,intercambio,1,14:35:00.366839200
AG_490,AG_491,intercambio,intercambio,1,14:35:01.156791500
AG_491,AG_490,intercambio,intercambio,1,14:35:02.371811100
AG_490,AG_488,intercambio,intercambio,1,14:35:03.171615400
AG_487,AG_491,intercambio,intercambio,1,14:35:05.925856
AG_489,AG_491,intercambio,intercambio,1,14:35:06.717726100
AG_487,AG_488,intercambio,intercambio,1,14:35:07.934050600
AG_489,AG_488,intercambio,intercambio,1,14:35:08.729041
AG_487,AG_490,intercambio,intercambio,1,14:35:09.944830100
AG_489,AG_487,intercambio,intercambio,1,14:35:10.733443300
AG_487,AG_489,intercambio,intercambio,1,14:35:11.948824900
